WOT-DATA,2
{{ID}},TopTurretBase
{{EN}},Base visibility with top turret.
{{RU}},Базовый обзор из топ башни.
france-F08_AMX_50_100_IGR,380,#221
france-F09_AMX_50_120,390,#221
france-F10_AMX_50B,400,#221
france-F10_AMX_50B_fallout,400,#221
france-F100_Panhard_EBR_90,330,#221
france-F106_Panhard_EBR_75_Mle1954,310,#221
france-F107_Hotchkiss_EBR,310,#221
france-F108_Panhard_EBR_105,350,#221
france-F109_AMD_Panhard_178B,300,#221
france-F11_Renault_G1R,350,#221
france-F110_Lynx_6x6,310,#221
france-F111_AM39_Gendron_Somua,280,#221
france-F112_M10_RBFM,370,#221
france-F113_Bretagne_Panther,370,#221
france-F114_Projet_4_1,380,#221
france-F116_Bat_Chatillon_Bourrasque,390,#221
france-F12_Hotchkiss_H35,300,#221
france-F13_AMX38,310,#221
france-F14_AMX40,340,#221
france-F15_AMX_12t,360,#221
france-F16_AMX_13_75,370,#221
france-F17_AMX_13_90,380,#221
france-F17_AMX_13_90_IGR,380,#221
france-F18_Bat_Chatillon25t,400,#221
france-F18_Bat_Chatillon25t_IGR,400,#221
france-F19_Lorraine40t,380,#221
france-F20_RenaultBS,250,#221
france-F21_Lorraine39_L_AM,260,#221
france-F22_AMX_105AM,265,#221
france-F23_AMX_13F3AM,270,#221
france-F24_Lorraine155_50,270,#221
france-F25_Lorraine155_51,270,#221
france-F27_FCM_36Pak40,400,#221
france-F28_105_leFH18B2,390,#221
france-F28_105_leFH18B2_IGR,390,#221
france-F30_RenaultFT_AC,300,#221
france-F32_Somua_Sau_40,330,#221
france-F33_S_35CA,340,#221
france-F33_S_35CA_IGR,340,#221
france-F34_ARL_V39,350,#221
france-F35_AMX_AC_Mle1946,350,#221
france-F36_AMX_AC_Mle1948,370,#221
france-F36_AMX_AC_Mle1948_IGR,370,#221
france-F37_AMX50_Foch,380,#221
france-F38_Bat_Chatillon155_58,280,#221
france-F42_AMR_35,320,#221
france-F44_Somua_S35,330,#221
france-F49_RenaultR35,300,#221
france-F50_FCM36_20t,280,#221
france-F52_RenaultUE57,320,#221
france-F62_ELC_AMX,360,#221
france-F62_ELC_AMX_IGR,360,#221
france-F64_AMX_50Fosh_155,380,#221
france-F64_AMX_50Fosh_B,380,#221
france-F65_FCM_50t,400,#221
france-F66_AMX_Ob_Am105,260,#221
france-F67_Bat_Chatillon155_55,270,#221
france-F68_AMX_Chasseur_de_char_46,390,#221
france-F69_AMX13_57_100,390,#221
france-F69_AMX13_57_100_GrandFinal,390,#221
france-F70_SARL42,330,#221
france-F71_AMX_30_prototype,390,#221
france-F72_AMX_30,410,#221
france-F73_M4A1_Revalorise,390,#221
france-F73_M4A1_Revalorise_FL,390,#221
france-F74_AMX_M4_1949,370,#221
france-F74_AMX_M4_1949_FL,370,#221
france-F74_AMX_M4_1949_Liberte,370,#221
france-F75_Char_de_25t,380,#221
france-F81_Char_de_65t,370,#221
france-F82_AMX_M4_Mle1949_Ter,390,#221
france-F83_AMX_M4_Mle1949_Bis,380,#221
france-F84_Somua_SM,370,#221
france-F85_M4A1_FL10,370,#221
france-F87_Batignolles-Chatillon_12t,380,#221
france-F88_AMX_13_105,390,#221
france-F89_Canon_dassaut_de_105,360,#221
france-F97_ELC_EVEN_90,380,#221
france-F97_ELC_EVEN_90_FL,380,#221
germany-Env_Artillery,360,#221
germany-G02_Hummel,265,#221
germany-G03_PzV_Panther,380,#221
germany-G03_PzV_Panther_bootcamp,370,#221
germany-G03_PzV_Panther_IGR,380,#221
germany-G03_PzV_Panther_training,350,#221
germany-G04_PzVI_Tiger_I,380,#221
germany-G04_PzVI_Tiger_I_IGR,380,#221
germany-G04_PzVI_Tiger_IA,380,#221
germany-G05_StuG_40_AusfG,310,#221
germany-G05_StuG_40_AusfG_IGR,310,#221
germany-G06_PzII,320,#221
germany-G06_PzII_bot,290,#221
germany-G07_Pz35t,320,#221
germany-G08_Pz38t,330,#221
germany-G08_Pz38t_bootcamp,310,#221
germany-G09_Hetzer,260,#221
germany-G10_PzIII_AusfJ,330,#221
germany-G10_PzIII_AusfJ_training,330,#221
germany-G100_Gtraktor_Krupp,330,#221
germany-G101_StuG_III,310,#221
germany-G102_Pz_III,320,#221
germany-G102_Pz_III_bootcamp,320,#221
germany-G103_RU_251,410,#221
germany-G104_Stug_IV,310,#221
germany-G105_T-55_NVA_DDR,395,#221
germany-G106_PzKpfwPanther_AusfF,390,#221
germany-G107_PzKpfwIII_AusfK,350,#221
germany-G108_PzKpfwII_AusfD,320,#221
germany-G109_Steyr_WT,360,#221
germany-G11_Bison_I,245,#221
germany-G110_Typ_205,400,#221
germany-G112_KanonenJagdPanzer,360,#221
germany-G112_KanonenJagdPanzer_105,360,#221
germany-G113_SP_I_C,390,#221
germany-G114_Rheinmetall_Skorpian,360,#221
germany-G114_Skorpian,360,#221
germany-G115_Typ_205_4_Jun,400,#221
germany-G115_Typ_205B,400,#221
germany-G116_Turan_III_prot,330,#221
germany-G117_Toldi_III,270,#221
germany-G117_Toldi_III_bootcamp,270,#221
germany-G118_VK4503,380,#221
germany-G119_Panzer58,390,#221
germany-G119_Panzer58_BF,390,#221
germany-G119_Panzer58_FL,390,#221
germany-G119_Pz58_Mutz,390,#221
germany-G12_Ltraktor,310,#221
germany-G12_Ltraktor_bot,260,#221
germany-G120_M41_90,400,#221
germany-G120_M41_90_GrandFinal,400,#221
germany-G121_Grille_15_L63,390,#221
germany-G122_VK6501H,360,#221
germany-G125_Spz_57_Rh,420,#221
germany-G126_HWK_12,410,#221
germany-G13_VK3001H,360,#221
germany-G134_PzKpfw_VII,400,#221
germany-G134_PzKpfw_VII_bob,400,#221
germany-G136_Tiger_131,370,#221
germany-G137_PzVI_Tiger_217,370,#221
germany-G138_VK168_02,400,#221
germany-G138_VK168_02_Mauerbrecher,400,#221
germany-G139_MKA,320,#221
germany-G140_HWK_30,410,#221
germany-G141_VK7501K,380,#221
germany-G142_M48RPz,380,#221
germany-G143_E75_TS,390,#221
germany-G144_Kpz_50t,400,#221
germany-G15_VK3601H,370,#221
germany-G16_PzVIB_Tiger_II,390,#221
germany-G16_PzVIB_Tiger_II_F,380,#221
germany-G16_PzVIB_Tiger_II_IGR,390,#221
germany-G16_PzVIB_Tiger_II_training,400,#221
germany-G17_JagdPzIV,350,#221
germany-G18_JagdPanther,350,#221
germany-G19_Wespe,250,#221
germany-G20_Marder_II,310,#221
germany-G21_PanzerJager_I,300,#221
germany-G21_PanzerJager_I_bootcamp,300,#221
germany-G22_Sturmpanzer_II,255,#221
germany-G23_Grille,260,#221
germany-G24_VK3002DB,380,#221
germany-G25_PzII_Luchs,360,#221
germany-G26_VK1602,360,#221
germany-G27_VK3001P,370,#221
germany-G28_PzIII_IV,350,#221
germany-G32_PzV_PzIV,365,#221
germany-G32_PzV_PzIV_ausf_Alfa,365,#221
germany-G32_PzV_PzIV_ausf_Alfa_CN,365,#221
germany-G32_PzV_PzIV_CN,365,#221
germany-G33_H39_captured,330,#221
germany-G34_S35_captured,330,#221
germany-G35_B-1bis_captured,330,#221
germany-G36_PzII_J,320,#221
germany-G37_Ferdinand,370,#221
germany-G37_Ferdinand_IGR,370,#221
germany-G39_Marder_III,320,#221
germany-G40_Nashorn,360,#221
germany-G41_DickerMax,400,#221
germany-G42_Maus,400,#221
germany-G42_Maus_IGR,400,#221
germany-G43_Sturer_Emil,370,#221
germany-G44_JagdTiger,390,#221
germany-G44_JagdTigerH,370,#221
germany-G45_G_Tiger,295,#221
germany-G46_T-25,320,#221
germany-G48_E-25,360,#221
germany-G48_E-25_IGR,360,#221
germany-G49_G_Panther,275,#221
germany-G50_T-15,350,#221
germany-G51_Lowe,400,#221
germany-G51_Lowe_FL,400,#221
germany-G52_Pz38_NA,370,#221
germany-G53_PzI,320,#221
germany-G54_E-50,400,#221
germany-G55_E-75,400,#221
germany-G56_E-100,400,#221
germany-G57_PzVI_Tiger_P,380,#221
germany-G58_VK4502P,400,#221
germany-G58_VK4502P7,370,#221
germany-G61_G_E,310,#221
germany-G63_PzI_ausf_C,340,#221
germany-G64_Panther_II,390,#221
germany-G64_Panther_II_IGR,390,#221
germany-G65_JagdTiger_SdKfz_185,390,#221
germany-G65_JagdTiger_SdKfz_185_IGR,390,#221
germany-G66_VK2801,380,#221
germany-G67_VK4502A,390,#221
germany-G70_PzIV_Hydro,330,#221
germany-G71_JagdPantherII,360,#221
germany-G72_JagdPz_E100,390,#221
germany-G73_E50_Ausf_M,400,#221
germany-G76_Pz_Sfl_IVc,340,#221
germany-G77_PzIV_Schmalturm,370,#221
germany-G78_Panther_M10,365,#221
germany-G79_Pz_IV_AusfGH,330,#221
germany-G80_Pz_IV_AusfD,340,#221
germany-G80_Pz_IV_AusfD_bootcamp,330,#221
germany-G81_Pz_IV_AusfH,350,#221
germany-G82_Pz_II_AusfG,330,#221
germany-G83_Pz_IV_AusfA,330,#221
germany-G85_Auf_Panther,380,#221
germany-G85_Aufklarungspanzer_V,400,#221
germany-G86_VK2001DB,330,#221
germany-G87_VK3002DB_V1,370,#221
germany-G88_Indien_Panzer,380,#221
germany-G89_Leopard1,410,#221
germany-G90_DW_II,330,#221
germany-G91_Pro_Ag_A,400,#221
germany-G92_VK7201,400,#221
germany-G93_GW_Mk_VIe,250,#221
germany-G94_GW_Tiger_P,290,#221
germany-G95_Pz_Sfl_IVb,255,#221
germany-G96_VK3002M,370,#221
germany-G97_Waffentrager_IV,370,#221
germany-G98_Waffentrager_E100,380,#221
germany-G98_Waffentrager_E100_P,380,#221
germany-G99_RhB_Waffentrager,360,#221
italy-It03_M15_42,320,#221
italy-It04_Fiat_3000,280,#221
italy-It05_Carro_L6_40,320,#221
italy-It06_M14_41,300,#221
italy-It07_P26_40,330,#221
italy-It08_Progetto_M40_mod_65,400,#221
italy-It08_Progetto_M40_mod_65_bob,400,#221
italy-It09_P43_ter,380,#221
italy-It10_P43_bis,360,#221
italy-It11_P43,350,#221
italy-It12_Prototipo_Standard_B,390,#221
italy-It13_Progetto_M35_mod_46,390,#221
italy-It14_P44_Pantera,380,#221
japan-J01_NC27,280,#221
japan-J01_NC27_bot,250,#221
japan-J02_Te_Ke,300,#221
japan-J03_Ha_Go,300,#221
japan-J04_Ke_Ni,310,#221
japan-J04_Ke_Ni_bootcamp,310,#221
japan-J05_Ke_Ni_B,310,#221
japan-J06_Ke_Ho,340,#221
japan-J07_Chi_Ha,330,#221
japan-J08_Chi_Nu,350,#221
japan-J09_Chi_He,340,#221
japan-J10_Chi_To,360,#221
japan-J11_Chi_Ri,370,#221
japan-J11_Chi_Ri_IGR,370,#221
japan-J12_Chi_Nu_Kai,350,#221
japan-J13_STA_1,390,#221
japan-J13_STA_1_IGR,390,#221
japan-J14_Type_61,400,#221
japan-J15_Chi_Ni,300,#221
japan-J16_ST_B1,400,#221
japan-J16_ST_B1_IGR,410,#221
japan-J18_STA_2_3,380,#221
japan-J19_Tiger_I_Jpn,370,#221
japan-J20_Type_2605,400,#221
japan-J21_Type_91,330,#221
japan-J22_Type_95,340,#221
japan-J22_Type_95_bootcamp,340,#221
japan-J23_Mi_To,360,#221
japan-J24_Mi_To_130_tons,370,#221
japan-J25_Type_4,390,#221
japan-J26_Type_89,320,#221
japan-J27_O_I_120,380,#221
japan-J28_O_I_100,380,#221
japan-J29_Nameless,370,#221
japan-J30_Edelweiss,390,#221
poland-Pl01_TKS_20mm,290,#221
poland-Pl03_PzV_Poland,370,#221
poland-Pl05_50TP_Tyszkiewicza,380,#221
poland-Pl06_10TP,310,#221
poland-Pl07_14TP,330,#221
poland-Pl08_50TP_prototyp,380,#221
poland-Pl09_7TP,300,#221
poland-Pl10_40TP_Habicha,360,#221
poland-Pl11_45TP_Habicha,350,#221
poland-Pl12_25TP_KSUST_II,350,#221
poland-Pl13_53TP_Markowskiego,370,#221
poland-Pl14_4TP,280,#221
poland-Pl15_60TP_Lewandowskiego,390,#221
poland-Pl16_T34_85_Rudy,365,#221
sweden-S01_Strv_74_A2,350,#221
sweden-S02_Strv_M42,350,#221
sweden-S03_Strv_M38,300,#221
sweden-S04_Lago_I,330,#221
sweden-S05_Strv_M21_29,290,#221
sweden-S06_Ikv_90_Typ_B_Bofors,340,#221
sweden-S07_Strv_74,360,#221
sweden-S08_Ikv_65_Alt_2,330,#221
sweden-S09_L_120_TD,280,#221
sweden-S10_Strv_103_0_Series,360,#221
sweden-S11_Strv_103B,360,#221
sweden-S12_Strv_M40,320,#221
sweden-S13_Leo,370,#221
sweden-S14_Ikv_103,340,#221
sweden-S15_L_60,280,#221
sweden-S16_Kranvagn,390,#221
sweden-S17_EMIL_1952_E2,380,#221
sweden-S18_EMIL_1951_E1,360,#221
sweden-S19_Sav_M43,310,#221
sweden-S20_Ikv_72,300,#221
sweden-S21_UDES_03,350,#221
sweden-S22_Strv_S1,350,#221
sweden-S22_Strv_S1_FL,350,#221
sweden-S23_Strv_81,400,#221
sweden-S23_Strv_81_sabaton,400,#221
sweden-S25_EMIL_51,360,#221
sweden-S26_Lansen_C,380,#221
sweden-S27_UDES_16,390,#221
sweden-S28_UDES_15_16,390,#221
sweden-S28_UDES_15_16_bob,390,#221
sweden-S29_UDES_14_5,390,#221
sweden-S30_UDES_03_Alt_3,380,#221
uk-GB01_Medium_Mark_I,280,#221
uk-GB01_Medium_Mark_I_bot,260,#221
uk-GB03_Cruiser_Mk_I,320,#221
uk-GB04_Valentine,340,#221
uk-GB05_Vickers_Medium_Mk_II,300,#221
uk-GB05_Vickers_Medium_Mk_II_bot,280,#221
uk-GB06_Vickers_Medium_Mk_III,330,#221
uk-GB07_Matilda,340,#221
uk-GB08_Churchill_I,350,#221
uk-GB08_Churchill_I_IGR,350,#221
uk-GB09_Churchill_VII,360,#221
uk-GB10_Black_Prince,370,#221
uk-GB100_Manticore,400,#221
uk-GB101_FV1066_Senlac,400,#221
uk-GB102_LHMTV,380,#221
uk-GB103_GSOR3301_AVR_FS,390,#221
uk-GB104_GSR_3301_Setter,370,#221
uk-GB105_Black_Prince_2019,360,#221
uk-GB11_Caernarvon,400,#221
uk-GB11_Caernarvon_IGR,400,#221
uk-GB12_Conqueror,400,#221
uk-GB13_FV215b,410,#221
uk-GB13_FV215b_IGR,410,#221
uk-GB14_M2,320,#221
uk-GB15_Stuart_I,330,#221
uk-GB17_Grant_I,325,#221
uk-GB19_Sherman_Firefly,370,#221
uk-GB20_Crusader,360,#221
uk-GB21_Cromwell,360,#221
uk-GB21_Cromwell_IGR,360,#221
uk-GB22_Comet,380,#221
uk-GB23_Centurion,400,#221
uk-GB23_Centurion_IGR,400,#221
uk-GB24_Centurion_Mk3,410,#221
uk-GB25_Loyd_Gun_Carriage,260,#221
uk-GB26_Birch_Gun,265,#221
uk-GB27_Sexton,260,#221
uk-GB28_Bishop,250,#221
uk-GB29_Crusader_5inch,275,#221
uk-GB30_FV3805,275,#221
uk-GB31_Conqueror_Gun,290,#221
uk-GB32_Tortoise,390,#221
uk-GB33_Sentinel_AC_I,350,#221
uk-GB35_Sentinel_AC_IV,360,#221
uk-GB39_Universal_CarrierQF2,300,#221
uk-GB40_Gun_Carrier_Churchill,340,#221
uk-GB41_Challenger,370,#221
uk-GB42_Valentine_AT,320,#221
uk-GB44_Archer,360,#221
uk-GB45_Achilles_IIC,370,#221
uk-GB48_FV215b_183,390,#221
uk-GB50_Sherman_III,370,#221
uk-GB51_Excelsior,350,#221
uk-GB52_A45,380,#221
uk-GB57_Alecto,330,#221
uk-GB58_Cruiser_Mk_III,320,#221
uk-GB59_Cruiser_Mk_IV,330,#221
uk-GB60_Covenanter,340,#221
uk-GB63_TOG_II,360,#221
uk-GB68_Matilda_Black_Prince,350,#221
uk-GB69_Cruiser_Mk_II,330,#221
uk-GB70_FV4202_105,410,#221
uk-GB70_N_FV4202_105,390,#221
uk-GB70_N_FV4202_105_FL,390,#221
uk-GB71_AT_15A,350,#221
uk-GB72_AT15,370,#221
uk-GB72_AT15_IGR,370,#221
uk-GB73_AT2,310,#221
uk-GB74_AT8,330,#221
uk-GB75_AT7,350,#221
uk-GB76_Mk_VIC,300,#221
uk-GB77_FV304,255,#221
uk-GB77_FV304_IGR,255,#221
uk-GB78_Sexton_I,330,#221
uk-GB79_FV206,265,#221
uk-GB80_Charioteer,370,#221
uk-GB81_FV4004,380,#221
uk-GB83_FV4005,390,#221
uk-GB84_Chieftain_Mk6,390,#221
uk-GB85_Cromwell_Berlin,360,#221
uk-GB86_Centurion_Action_X,410,#221
uk-GB87_Chieftain_T95_turret,380,#221
uk-GB88_T95_Chieftain_turret,400,#221
uk-GB91_Super_Conqueror,400,#221
uk-GB92_FV217,390,#221
uk-GB93_Caernarvon_AX,380,#221
uk-GB94_Centurion_Mk5-1_RAAC,400,#221
uk-GB95_Ekins_Firefly_M4A4,370,#221
uk-GB96_Excalibur,360,#221
uk-GB97_Chimera,380,#221
uk-GB98_T95_FV4201_Chieftain,410,#221
uk-GB99_Turtle_Mk1,370,#221
usa-A01_T1_Cunningham,280,#221
usa-A01_T1_Cunningham_bot,240,#221
usa-A02_M2_lt,320,#221
usa-A03_M3_Stuart,330,#221
usa-A03_M3_Stuart_bootcamp,280,#221
usa-A04_M3_Grant,320,#221
usa-A05_M4_Sherman,370,#221
usa-A05_M4_Sherman_IGR,370,#221
usa-A06_M4A3E8_Sherman,370,#221
usa-A06_M4A3E8_Sherman_training,270,#221
usa-A07_T20,390,#221
usa-A08_T23,380,#221
usa-A09_T1_hvy,330,#221
usa-A10_M6,350,#221
usa-A100_T49,410,#221
usa-A101_M56,350,#221
usa-A102_T28_concept,370,#221
usa-A103_T71E1,390,#221
usa-A103_T71E1_IGR,390,#221
usa-A104_M4A3E8A,370,#221
usa-A106_M48A2_120,400,#221
usa-A107_T1_HMC,250,#221
usa-A108_T18_HMC,250,#221
usa-A109_T56_GMC,290,#221
usa-A11_T29,380,#221
usa-A11_T29_IGR,380,#221
usa-A111_T25_Pilot,390,#221
usa-A112_T71E2,400,#221
usa-A112_T71E2R,390,#221
usa-A115_Chrysler_K,380,#221
usa-A115_Chrysler_K_GF,380,#221
usa-A116_XM551,420,#221
usa-A117_T26E5,390,#221
usa-A117_T26E5_FL,390,#221
usa-A117_T26E5_Patriot,390,#221
usa-A118_M4_Thunderbolt,370,#221
usa-A12_T32,400,#221
usa-A12_T32_FL,400,#221
usa-A120_M48A5,420,#221
usa-A120_M48A5_IGR,420,#221
usa-A121_M26_Cologne,380,#221
usa-A122_TS-5,370,#221
usa-A123_T78,370,#221
usa-A124_T54E2,400,#221
usa-A125_AEP_1,390,#221
usa-A126_PzVI_Tiger_II_capt,380,#221
usa-A127_TL_1_LPC,400,#221
usa-A13_T34_hvy,380,#221
usa-A13_T34_hvy_BF,380,#221
usa-A13_T34_hvy_FL,380,#221
usa-A13_T34_hvy_IGR,380,#221
usa-A130_Super_Hellcat,370,#221
usa-A14_T30,380,#221
usa-A15_T57,280,#221
usa-A16_M7_Priest,260,#221
usa-A17_M37,260,#221
usa-A18_M41,260,#221
usa-A19_T2_lt,260,#221
usa-A21_T14,330,#221
usa-A22_M5_Stuart,360,#221
usa-A22_M5_Stuart_bootcamp,340,#221
usa-A23_M7_med,360,#221
usa-A24_T2_med,320,#221
usa-A24_T2_med_bot,300,#221
usa-A25_M2_med,370,#221
usa-A25_M2_med_bootcamp,280,#221
usa-A26_T18,240,#221
usa-A27_T82,255,#221
usa-A29_T40,310,#221
usa-A30_M10_Wolverine,370,#221
usa-A31_M36_Slagger,370,#221
usa-A32_M12,270,#221
usa-A33_MTLS-1G14,280,#221
usa-A34_M24_Chaffee,360,#221
usa-A35_Pershing,400,#221
usa-A35_Pershing_IGR,400,#221
usa-A36_Sherman_Jumbo,370,#221
usa-A36_Sherman_Jumbo_bootcamp,330,#221
usa-A36_Sherman_Jumbo_IGR,370,#221
usa-A37_M40M43,290,#221
usa-A38_T92,310,#221
usa-A39_T28,370,#221
usa-A40_T95,380,#221
usa-A41_M18_Hellcat,370,#221
usa-A43_M22_Locust,330,#221
usa-A44_M4A2E4,370,#221
usa-A45_M6A2E1,380,#221
usa-A46_T3,270,#221
usa-A57_M8A1,320,#221
usa-A58_T67,340,#221
usa-A58_T67_IGR,340,#221
usa-A62_Ram-II,330,#221
usa-A63_M46_Patton,410,#221
usa-A63_M46_Patton_KR,390,#221
usa-A64_T25_AT,350,#221
usa-A66_M103,390,#221
usa-A67_T57_58,400,#221
usa-A68_T28_Prototype,380,#221
usa-A69_T110E5,400,#221
usa-A71_T21,380,#221
usa-A72_T25_2,380,#221
usa-A74_T1_E6,260,#221
usa-A78_M4_Improved,370,#221
usa-A80_T26_E4_SuperPershing,390,#221
usa-A80_T26_E4_SuperPershing_FL,390,#221
usa-A81_T95_E2,400,#221
usa-A83_T110E4,390,#221
usa-A85_T110E3,390,#221
usa-A86_T23E3,380,#221
usa-A87_M44,265,#221
usa-A88_M53_55,300,#221
usa-A89_T54E1,400,#221
usa-A90_T69,400,#221
usa-A90_T69_IGR,400,#221
usa-A92_M60,420,#221
usa-A93_T7_Combat_Car,280,#221
usa-A94_T37,370,#221
usa-A95_T95_E6,410,#221
usa-A97_M41_Bulldog,400,#221
usa-A99_T92_LT,400,#221
ussr-Observer,240,#221
ussr-R01_IS,350,#221
ussr-R02_SU-85,280,#221
ussr-R03_BT-7,300,#221
ussr-R03_BT-7_bootcamp,280,#221
ussr-R04_T-34,350,#221
ussr-R05_KV,310,#221
ussr-R06_T-28,340,#221
ussr-R06_T-28_bootcamp,320,#221
ussr-R07_T-34-85,360,#221
ussr-R07_T-34-85_bootcamp,350,#221
ussr-R07_T-34-85_training,360,#221
ussr-R08_BT-2,280,#221
ussr-R08_BT-2_bootcamp,240,#221
ussr-R09_T-26,310,#221
ussr-R09_T-26_bot,280,#221
ussr-R10_AT-1,250,#221
ussr-R100_SU122A,255,#221
ussr-R101_MT25,360,#221
ussr-R104_Object_430_II,400,#221
ussr-R105_BT_7A,290,#221
ussr-R106_KV85,340,#221
ussr-R106_KV85_IGR,340,#221
ussr-R107_LTB,380,#221
ussr-R108_T34_85M,360,#221
ussr-R109_T54S,390,#221
ussr-R11_MS-1,280,#221
ussr-R11_MS-1_bot,240,#221
ussr-R110_Object_260,400,#221
ussr-R111_ISU130,380,#221
ussr-R112_T54_45,380,#221
ussr-R112_T54_45_FL,380,#221
ussr-R113_Object_730,360,#221
ussr-R114_Object_244,340,#221
ussr-R115_IS-3_auto,350,#221
ussr-R115_IS-3_auto_test,350,#221
ussr-R116_ISU122C_Berlin,350,#221
ussr-R117_T34_85_Rudy,365,#221
ussr-R118_T28_F30,350,#221
ussr-R119_Object_777,380,#221
ussr-R119_Object_777C,390,#221
ussr-R12_A-20,330,#221
ussr-R120_T22SR_A22,400,#221
ussr-R121_KV4_KTT,350,#221
ussr-R122_T44_100,380,#221
ussr-R122_T44_100B,380,#221
ussr-R123_Kirovets_1,360,#221
ussr-R125_T_45,300,#221
ussr-R126_Object_730_5,360,#221
ussr-R127_T44_100_K,380,#221
ussr-R127_T44_100_P,380,#221
ussr-R127_T44_100_U,380,#221
ussr-R128_KV4_Kreslavskiy,360,#221
ussr-R129_Object_257,390,#221
ussr-R13_KV-1s,340,#221
ussr-R131_Tank_Gavalov,360,#221
ussr-R132_VNII_100LT,390,#221
ussr-R133_KV_122,360,#221
ussr-R134_Object_252K,350,#221
ussr-R134_Object_252U,350,#221
ussr-R135_T_103,380,#221
ussr-R139_IS_M,350,#221
ussr-R14_SU-5,250,#221
ussr-R140_M4_Loza,370,#221
ussr-R143_T_29,300,#221
ussr-R144_K_91,410,#221
ussr-R145_Object_705_A,390,#221
ussr-R146_STG,370,#221
ussr-R146_STG_Tday,370,#221
ussr-R148_Object_430_U,400,#221
ussr-R149_Object_268_4,370,#221
ussr-R15_S-51,275,#221
ussr-R151_Object_257_2,390,#221
ussr-R152_KV2_W,330,#221
ussr-R153_Object_705,380,#221
ussr-R154_T_34E_1943,340,#221
ussr-R155_Object_277,400,#221
ussr-R156_IS_2M,350,#221
ussr-R157_Object_279R,400,#221
ussr-R158_LT_432,380,#221
ussr-R159_SU_130PM,360,#221
ussr-R16_SU-18,260,#221
ussr-R160_T_50_2,370,#221
ussr-R161_T_116,320,#221
ussr-R165_Object_703_II,350,#221
ussr-R165_Object_703_II_2,350,#221
ussr-R169_ST_II,390,#221
ussr-R17_SU-100,350,#221
ussr-R170_IS_2_II,350,#221
ussr-R171_IS_3_II,380,#221
ussr-R172_Object_752,380,#221
ussr-R175_IS_2_screen,340,#221
ussr-R18_SU-152,330,#221
ussr-R18_SU-152_IGR,330,#221
ussr-R19_IS-3,350,#221
ussr-R19_IS-3_IGR,350,#221
ussr-R20_T-44,380,#221
ussr-R20_T-44_FL,380,#221
