WOT-DATA,2
{{ID}},MaxDamage,MaxPenetration,MaxPenetrationDamage,TopGunReloadTime
{{EN}},Damage using the best gun/shell (except premium shells).,Penetration using the best gun/shell (except premium shells).,Damage using the most penetrating gun/shell (except premium shells).,Top gun reload time.
{{RU}},Урон лучшей пушкой/снарядом (кроме голды).,Пробитие лучшей пушкой/снарядом (кроме голды).,Урон пушкой/снарядом с лучшим пробитием (кроме голды).,Время перезарядки топового орудия.
germany-G26_VK1602,90,95,30,"17,5",#266
germany-G27_VK3001P,410,150,135,"6,9",#266
germany-G28_PzIII_IV,175,110,110,"4,3",#266
germany-G32_PzV_PzIV,175,110,110,"3,8",#266
germany-G32_PzV_PzIV_ausf_Alfa,175,110,110,"3,8",#266
germany-G32_PzV_PzIV_ausf_Alfa_CN,175,110,110,"3,8",#266
germany-G32_PzV_PzIV_CN,175,110,110,"3,8",#266
germany-G33_H39_captured,45,41,40,"2,28571428571429",#266
germany-G34_S35_captured,62,55,52,"2,17142857142857",#266
germany-G35_B-1bis_captured,62,55,52,"2,17142857142857",#266
germany-G36_PzII_J,11,23,11,3,#266
germany-G37_Ferdinand,630,246,490,"11,7",#266
germany-G37_Ferdinand_IGR,630,246,490,"11,7",#266
germany-G39_Marder_III,175,108,110,"3,2",#266
germany-G40_Nashorn,295,203,240,"6,3",#266
germany-G41_DickerMax,380,169,300,"9,3",#266
germany-G42_Maus,630,246,490,"14,9",#266
germany-G42_Maus_IGR,630,246,490,"14,9",#266
germany-G43_Sturer_Emil,630,231,490,"13,8",#266
germany-G44_JagdTiger,700,276,560,"11,4",#266
germany-G45_G_Tiger,2000,303,1550,48,#266
germany-G46_T-25,175,116,110,"4,28571428571429",#266
germany-G48_E-25,175,150,135,3,#266
germany-G48_E-25_IGR,175,150,135,3,#266
germany-G49_G_Panther,1200,88,1200,"34,5",#266
germany-G50_T-15,45,42,40,"2,28571428571429",#266
germany-G51_Lowe,420,234,320,"12,0",#266
germany-G52_Pz38_NA,90,67,70,"2,5",#266
germany-G53_PzI,11,30,11,"3,1",#266
germany-G54_E-50,510,223,240,"9,6",#266
germany-G55_E-75,630,246,490,"15,7",#266
germany-G56_E-100,950,246,490,20,#266
germany-G57_PzVI_Tiger_P,410,203,240,"8,6",#266
germany-G58_VK4502P,630,246,490,"15,7",#266
germany-G58_VK4502P7,295,203,240,"7,7",#266
germany-G61_G_E,2000,303,1550,"42,5",#266
germany-G63_PzI_ausf_C,11,39,11,8,#266
germany-G64_Panther_II,410,203,240,"4,2",#266
germany-G64_Panther_II_IGR,295,203,240,"7,3",#266
germany-G65_JagdTiger_SdKfz_185,295,203,240,"5,4",#266
germany-G65_JagdTiger_SdKfz_185_IGR,295,203,240,"5,4",#266
germany-G66_VK2801,410,110,110,8,#266
germany-G67_VK4502A,420,203,240,"10,1",#266
germany-G70_PzIV_Hydro,175,110,110,"4,3",#266
germany-G71_JagdPantherII,630,246,490,"11,7",#266
germany-G72_JagdPz_E100,1400,299,1050,"25,7",#266
germany-G73_E50_Ausf_M,510,270,390,"9,6",#266
germany-G76_Pz_Sfl_IVc,295,194,240,"6,8",#266
germany-G77_PzIV_Schmalturm,175,150,135,"4,6",#266
germany-G78_Panther_M10,175,150,135,"4,5",#266
germany-G79_Pz_IV_AusfGH,110,43,110,"4,3",#266
germany-G80_Pz_IV_AusfD,175,103,110,4,#266
germany-G81_Pz_IV_AusfH,410,110,110,8,#266
germany-G82_Pz_II_AusfG,40,95,30,15,#266
germany-G83_Pz_IV_AusfA,175,60,70,4,#266
germany-G85_Auf_Panther,90,67,70,"2,3",#266
germany-G86_VK2001DB,175,67,70,"2,5",#266
germany-G87_VK3002DB_V1,175,150,135,"4,4",#266
germany-G88_Indien_Panzer,320,212,240,"7,2",#266
germany-G89_Leopard1,480,268,390,"8,7",#266
germany-G90_DW_II,175,67,70,"2,4",#266
germany-G91_Pro_Ag_A,480,268,390,"10,3",#266
germany-G92_VK7201,950,235,750,22,#266
germany-G93_GW_Mk_VIe,410,53,410,27,#266
germany-G94_GW_Tiger_P,2000,303,1550,"51,8",#266
germany-G95_Pz_Sfl_IVb,410,64,350,"15,5",#266
germany-G96_VK3002M,175,150,135,"4,2",#266
germany-G97_Waffentrager_IV,950,276,560,17,#266
germany-G98_Waffentrager_E100,630,246,490,58,#266
germany-G99_RhB_Waffentrager,950,246,490,20,#266
japan-J01_NC27,55,"32,8",45,"3,4",#266
japan-J01_NC27_bot,5,29,5,"2,5",#266
japan-J02_Te_Ke,60,"40,4",45,"3,0",#266
japan-J03_Ha_Go,95,"40,4",45,"3,4",#266
japan-J04_Ke_Ni,65,58,50,"2,3",#266
japan-J05_Ke_Ni_B,60,"48,1",45,"2,1",#266
japan-J06_Ke_Ho,100,87,75,"2,4",#266
japan-J07_Chi_Ha,95,81,70,3,#266
japan-J08_Chi_Nu,175,124,125,5,#266
japan-J09_Chi_He,175,87,75,4,#266
japan-J10_Chi_To,175,155,130,"3,8",#266
japan-J11_Chi_Ri,175,155,130,10,#266
japan-J11_Chi_Ri_IGR,175,155,130,10,#266
japan-J12_Chi_Nu_Kai,175,124,125,5,#266
japan-J13_STA_1,320,"218,7",240,"7,5",#266
japan-J13_STA_1_IGR,320,"218,7",240,"7,5",#266
japan-J14_Type_61,480,258,390,10,#266
japan-J15_Chi_Ni,95,"32,8",45,"3,4",#266
japan-J16_ST_B1,480,258,390,8,#266
japan-J16_ST_B1_IGR,480,258,390,8,#266
japan-J18_STA_2_3,320,212,240,"7,5",#266
japan-J19_Tiger_I_Jpn,270,145,220,"7,0",#266
japan-J20_Type_2605,770,249,600,"17,1",#266
japan-J21_Type_91,160,81,70,"2,1",#266
japan-J22_Type_95,175,"70,4",110,"3,3",#266
japan-J23_Mi_To,440,130,300,10,#266
japan-J24_Mi_To_130_tons,910,175,300,26,#266
japan-J25_Type_4,770,249,600,"19,8",#266
japan-J26_Type_89,95,"29,6",75,"2,3",#266
japan-J27_O_I_120,910,215,330,"9,3",#266
japan-J28_O_I_100,910,190,330,12,#266
sweden-S01_Strv_74_A2,185,148,150,16,#266
sweden-S15_L_60,16,27,12,5,#266
uk-GB01_Medium_Mark_I,95,45,70,"4,5",#266
uk-GB01_Medium_Mark_I_bot,8,38,8,5,#266
uk-GB03_Cruiser_Mk_I,60,64,45,8,#266
uk-GB04_Valentine,175,110,75,"6,6",#266
uk-GB05_Vickers_Medium_Mk_II,95,57,70,"3,6",#266
uk-GB05_Vickers_Medium_Mk_II_bot,25,38,25,"4,2",#266
uk-GB06_Vickers_Medium_Mk_III,95,64,45,3,#266
uk-GB07_Matilda,175,121,55,4,#266
uk-GB08_Churchill_I,175,145,135,"4,8",#266
uk-GB08_Churchill_I_IGR,175,145,135,"4,8",#266
uk-GB09_Churchill_VII,370,148,140,"4,3",#266
uk-GB10_Black_Prince,190,171,150,5,#266
uk-GB11_Caernarvon,280,226,230,"7,8",#266
uk-GB11_Caernarvon_IGR,280,226,230,"7,8",#266
uk-GB12_Conqueror,515,259,400,"10,5",#266
uk-GB13_FV215b,515,259,400,"8,7",#266
uk-GB13_FV215b_IGR,515,259,400,"8,7",#266
uk-GB14_M2,50,48,40,"2,6",#266
uk-GB15_Stuart_I,60,64,45,"2,5",#266
uk-GB17_Grant_I,175,105,75,3,#266
uk-GB19_Sherman_Firefly,410,171,150,"4,7",#266
uk-GB20_Crusader,175,110,75,"2,2",#266
uk-GB21_Cromwell,370,145,135,"3,9",#266
uk-GB21_Cromwell_IGR,175,145,135,"3,9",#266
uk-GB22_Comet,370,148,140,"3,9",#266
uk-GB23_Centurion,280,226,230,8,#266
uk-GB23_Centurion_IGR,280,226,230,8,#266
uk-GB24_Centurion_Mk3,480,268,390,12,#266
uk-GB25_Loyd_Gun_Carriage,165,42,165,9,#266
uk-GB26_Birch_Gun,280,71,180,"9,6",#266
uk-GB27_Sexton,280,71,180,12,#266
uk-GB28_Bishop,450,71,180,"12,9",#266
uk-GB29_Crusader_5inch,900,70,900,28,#266
uk-GB30_FV3805,1750,258,750,"41,2",#266
uk-GB31_Conqueror_Gun,2200,117,2200,"58,1",#266
uk-GB32_Tortoise,515,259,400,"7,1",#266
uk-GB33_Sentinel_AC_I,60,88,45,"2,3",#266
uk-GB35_Sentinel_AC_IV,190,171,150,5,#266
uk-GB39_Universal_CarrierQF2,95,64,45,"3,1",#266
uk-GB40_Gun_Carrier_Churchill,330,214,250,"8,5",#266
uk-GB41_Challenger,190,171,150,"3,9",#266
uk-GB42_Valentine_AT,370,110,75,8,#266
uk-GB44_Archer,190,171,150,"4,7",#266
uk-GB45_Achilles_IIC,190,171,150,"4,4",#266
uk-GB48_FV215b_183,1750,310,1150,30,#266
uk-GB50_Sherman_III,410,128,115,"4,6",#266
uk-GB51_Excelsior,175,91,110,"3,8",#266
uk-GB52_A45,190,171,150,"4,3",#266
uk-GB57_Alecto,370,110,75,"5,7",#266
uk-GB58_Cruiser_Mk_III,60,64,45,8,#266
uk-GB59_Cruiser_Mk_IV,60,64,45,6,#266
uk-GB60_Covenanter,175,78,50,"4,3",#266
uk-GB63_TOG_II,190,171,150,5,#266
uk-GB68_Matilda_Black_Prince,100,110,75,"2,3",#266
uk-GB69_Cruiser_Mk_II,370,64,45,12,#266
uk-GB70_FV4202_105,480,268,390,"8,6",#266
uk-GB70_N_FV4202_105,280,226,230,8,#266
uk-GB71_AT_15A,190,171,150,"4,3",#266
uk-GB72_AT15,330,226,230,5,#266
uk-GB72_AT15_IGR,280,226,230,5,#266
uk-GB73_AT2,370,110,75,"2,3",#266
uk-GB74_AT8,190,171,150,"4,3",#266
uk-GB75_AT7,280,226,230,"6,2",#266
uk-GB76_Mk_VIC,9,27,9,18,#266
uk-GB77_FV304,450,71,180,"13,5",#266
uk-GB77_FV304_IGR,450,57,450,"13,5",#266
uk-GB78_Sexton_I,280,71,180,12,#266
uk-GB79_FV206,1250,258,750,33,#266
uk-GB80_Charioteer,480,268,390,"10,1",#266
uk-GB81_FV4004,515,259,400,"7,8",#266
uk-GB83_FV4005,1750,310,1150,30,#266
uk-GB84_Chieftain_Mk6,515,270,400,"8,25",#266
uk-GB85_Cromwell_Berlin,175,145,135,"3,9",#266
uk-GB86_Centurion_Action_X,480,268,390,"8,6",#266
uk-GB87_Chieftain_T95_turret,320,202,240,"8,3",#266
uk-GB88_T95_Chieftain_turret,515,270,400,9,#266
usa-A01_T1_Cunningham,36,33,30,8,#266
usa-A01_T1_Cunningham_bot,6,28,6,"2,5",#266
usa-A02_M2_lt,50,48,40,"7,7",#266
usa-A03_M3_Stuart,50,56,40,"2,3",#266
usa-A04_M3_Grant,175,92,110,3,#266
usa-A05_M4_Sherman,410,128,115,"4,8",#266
usa-A05_M4_Sherman_IGR,185,128,115,"4,8",#266
usa-A06_M4A3E8_Sherman,410,128,115,"3,3",#266
usa-A06_M4A3E8_Sherman_training,115,120,115,5,#266
usa-A07_T20,410,160,240,"9,4",#266
usa-A08_T23,8,27,8,"1,5",#266
usa-A09_T1_hvy,185,128,115,"3,6",#266
usa-A10_M6,320,160,240,"7,6",#266
usa-A100_T49,910,152,700,23,#266
usa-A101_M56,320,219,240,"7,8",#266
usa-A102_T28_concept,420,181,320,10,#266
usa-A103_T71E1,185,175,150,20,#266
usa-A103_T71E1_IGR,185,175,150,20,#266
usa-A104_M4A3E8A,185,128,115,"3,3",#266
usa-A106_M48A2_120,515,258,400,9,#266
usa-A107_T1_HMC,175,38,175,9,#266
usa-A108_T18_HMC,175,38,175,7,#266
usa-A109_T56_GMC,175,110,75,4,#266
usa-A11_T29,420,198,320,"11,4",#266
usa-A11_T29_IGR,420,198,320,"11,4",#266
usa-A111_T25_Pilot,320,192,240,"7,8",#266
usa-A112_T71E2,185,175,150,"4,3",#266
usa-A117_T26E5,320,230,240,"7,2",#266
usa-A117_T26E5_Patriot,320,230,240,"7,2",#266
usa-A12_T32,420,198,320,"10,6",#266
usa-A13_T34_hvy,515,248,400,15,#266
usa-A13_T34_hvy_IGR,515,248,400,15,#266
usa-A14_T30,950,276,750,21,#266
usa-A15_T57,8,27,8,"9,4",#266
usa-A16_M7_Priest,410,53,410,20,#266
usa-A17_M37,410,53,410,15,#266
usa-A18_M41,700,78,700,25,#266
usa-A19_T2_lt,12,30,12,"7,66",#266
usa-A21_T14,175,92,110,"3,81",#266
usa-A22_M5_Stuart,50,56,40,"7,2",#266
usa-A23_M7_med,175,105,75,"2,3",#266
usa-A24_T2_med,50,48,40,"7,3",#266
usa-A24_T2_med_bot,15,33,15,"5,7",#266
usa-A25_M2_med,175,56,40,"2,3",#266
usa-A26_T18,8,27,8,"2,1",#266
usa-A27_T82,410,53,410,13,#266
usa-A29_T40,410,128,115,"3,7",#266
usa-A30_M10_Wolverine,410,128,115,"3,2",#266
usa-A31_M36_Slagger,320,160,240,8,#266
usa-A32_M12,1250,88,1250,"37,5",#266
usa-A33_MTLS-1G14,50,45,40,"15,2",#266
usa-A34_M24_Chaffee,175,96,110,"3,5",#266
usa-A35_Pershing,410,190,240,"8,2",#266
usa-A35_Pershing_IGR,320,190,240,"8,2",#266
usa-A36_Sherman_Jumbo,410,128,115,"3,3",#266
usa-A36_Sherman_Jumbo_IGR,185,128,115,"3,3",#266
usa-A37_M40M43,1850,241,1450,"48,9",#266
usa-A38_T92,2250,370,1800,53,#266
usa-A39_T28,515,248,400,"9,1",#266
usa-A40_T95,950,276,750,"18,3",#266
usa-A41_M18_Hellcat,320,160,240,"8,5",#266
usa-A43_M22_Locust,50,56,40,"2,29",#266
usa-A44_M4A2E4,175,92,110,"3,81",#266
usa-A45_M6A2E1,420,198,320,"11,89",#266
usa-A46_T3,175,64,45,"2,5",#266
usa-A57_M8A1,175,110,75,"4,2",#266
usa-A58_T67,185,128,115,"3,2",#266
usa-A58_T67_IGR,185,128,115,"3,2",#266
usa-A62_Ram-II,75,105,75,"2,29",#266
usa-A63_M46_Patton,480,218,390,9,#266
usa-A63_M46_Patton_KR,320,192,240,"8,1",#266
usa-A64_T25_AT,420,198,320,"9,1",#266
usa-A66_M103,515,258,400,"11,2",#266
usa-A67_T57_58,515,258,400,25,#266
usa-A68_T28_Prototype,515,248,400,"10,1",#266
usa-A69_T110E5,515,258,400,10,#266
usa-A71_T21,185,128,115,"3,2",#266
usa-A72_T25_2,320,170,240,"7,7",#266
usa-A74_T1_E6,36,33,30,5,#266
usa-A78_M4_Improved,175,92,110,4,#266
usa-A80_T26_E4_SuperPershing,320,170,240,"8,2",#266
usa-A81_T95_E2,320,181,240,"7,5",#266
usa-A83_T110E4,1100,295,750,"19,5",#266
usa-A84_M48A1,480,268,390,"8,35",#266
usa-A84_M48A1_IGR,480,268,390,"8,35",#266
usa-A85_T110E3,1100,295,750,17,#266
usa-A86_T23E3,185,149,115,"3,3",#266
usa-A87_M44,700,78,700,22,#266
usa-A88_M53_55,1850,241,1450,"45,2",#266
usa-A89_T54E1,390,210,390,36,#266
usa-A90_T69,320,181,240,27,#266
usa-A90_T69_IGR,320,181,240,27,#266
usa-A92_M60,480,268,390,"8,8",#266
usa-A93_T7_Combat_Car,8,27,8,24,#266
usa-A94_T37,185,150,115,"3,3",#266
usa-A95_T95_E6,515,258,400,"9,12",#266
usa-A97_M41_Bulldog,185,175,150,"4,3",#266
usa-A99_T92_LT,185,175,150,"4,2",#266
ussr-Observer,30,34,30,"2,5",#266
ussr-R01_IS,530,175,250,"12,3",#266
ussr-R02_SU-85,450,144,180,6,#266
ussr-R03_BT-7,62,58,40,"2,1",#266
ussr-R04_T-34,165,125,115,"2,3",#266
ussr-R05_KV,156,86,110,"4,3",#266
ussr-R06_T-28,164,112,85,"2,7",#266
ussr-R07_T-34-85,450,144,180,6,#266
ussr-R07_T-34-85_training,160,126,160,5,#266
ussr-R08_BT-2,62,51,47,"2,3",#266
ussr-R09_T-26,62,58,40,"2,3",#266
ussr-R09_T-26_bot,18,40,18,"2,3",#266
ussr-R10_AT-1,164,75,75,"3,1",#266
ussr-R100_SU122A,910,88,910,"31,6",#266
ussr-R101_MT25,95,112,85,"2,4",#266
ussr-R104_Object_430_II,420,219,320,8,#266
ussr-R105_BT_7A,164,38,164,"4,8",#266
ussr-R106_KV85,530,175,390,20,#266
ussr-R106_KV85_IGR,330,170,250,"7,6",#266
ussr-R107_LTB,300,170,180,"5,1",#266
ussr-R108_T34_85M,280,126,160,"5,2",#266
ussr-R109_T54S,330,175,250,"7,5",#266
ussr-R11_MS-1,62,51,47,"2,9",#266
ussr-R11_MS-1_bot,5,34,5,"2,5",#266
ussr-R110_Object_260,530,260,440,"11,5",#266
ussr-R111_ISU130,640,215,490,"10,3",#266
ussr-R112_T54_45,330,183,250,8,#266
ussr-R113_Object_730,530,221,390,"12,6",#266
ussr-R114_Object_244,300,144,180,"5,7",#266
ussr-R115_IS-3_auto,530,221,390,"11,7",#266
ussr-R116_ISU122C_Berlin,530,175,390,"7,4",#266
ussr-R117_T34_85_Rudy,300,144,180,6,#266
ussr-R118_T28_F30,280,120,160,"6,1",#266
ussr-R119_Object_777,530,258,440,"12,3",#266
ussr-R12_A-20,156,75,55,"4,2",#266
ussr-R120_T22SR_A22,420,264,320,"8,1",#266
ussr-R121_KV4_KTT,420,227,320,"8,4",#266
ussr-R122_T44_100,330,183,250,"8,1",#266
ussr-R123_Kirovets_1,530,221,390,13,#266
ussr-R125_T_45,62,51,47,"3,6",#266
ussr-R126_Object_730_5,1100,303,750,"19,6",#266
ussr-R127_T44_100_P,330,183,250,"8,1",#266
ussr-R128_KV4_Kreslavskiy,420,227,320,"11,3",#266
ussr-R129_Object_257,530,260,440,"11,9",#266
ussr-R13_KV-1s,450,119,160,5,#266
ussr-R133_KV_122,530,175,390,"13,3",#266
ussr-R14_SU-5,450,80,110,17,#266
ussr-R15_S-51,1850,260,1450,"55,5",#266
ussr-R16_SU-18,164,42,164,8,#266
ussr-R17_SU-100,530,175,250,"12,8",#266
ussr-R18_SU-152,910,175,390,"7,4",#266
ussr-R18_SU-152_IGR,530,175,390,"7,4",#266
ussr-R19_IS-3,530,225,390,"13,3",#266
ussr-R19_IS-3_IGR,530,225,390,"13,3",#266
ussr-R20_T-44,530,183,250,"19,2",#266
ussr-R20_T-44_IGR,330,183,250,"8,1",#266
ussr-R22_T-46,164,75,55,"4,6",#266
ussr-R23_T-43,450,144,180,"5,4",#266
ussr-R24_SU-76,156,112,85,"3,2",#266
