WOT-DATA,2
{{EN}},"Contains ""*"" for every tank which has a rotating turret."
usa-A72_T25_2_SH,*,#414
usa-A74_T1_E6,*,#414
usa-A78_M4_Improved,*,#414
usa-A80_T26_E4_SuperPershing,*,#414
usa-A80_T26_E4_SuperPershing_FL,*,#414
usa-A81_T95_E2,*,#414
usa-A86_T23E3,*,#414
usa-A89_T54E1,*,#414
usa-A90_T69,*,#414
usa-A90_T69_IGR,*,#414
usa-A92_M60,*,#414
usa-A93_T7_Combat_Car,*,#414
usa-A94_T37,*,#414
usa-A95_T95_E6,*,#414
usa-A97_M41_Bulldog,*,#414
usa-A99_T92_LT,*,#414
ussr-Observer,*,#414
ussr-R01_IS,*,#414
ussr-R03_BT-7,*,#414
ussr-R03_BT-7_bootcamp,*,#414
ussr-R04_T-34,*,#414
ussr-R05_KV,*,#414
ussr-R06_T-28,*,#414
ussr-R06_T-28_bootcamp,*,#414
ussr-R07_T-34-85,*,#414
ussr-R07_T-34-85_bootcamp,*,#414
ussr-R07_T-34-85_training,*,#414
ussr-R08_BT-2,*,#414
ussr-R08_BT-2_bootcamp,*,#414
ussr-R09_T-26,*,#414
ussr-R09_T-26_bot,*,#414
ussr-R101_MT25,*,#414
ussr-R105_BT_7A,*,#414
ussr-R106_KV85,*,#414
ussr-R106_KV85_IGR,*,#414
ussr-R107_LTB,*,#414
ussr-R108_T34_85M,*,#414
ussr-R109_T54S,*,#414
ussr-R11_MS-1,*,#414
ussr-R11_MS-1_bot,*,#414
ussr-R110_Object_260,*,#414
ussr-R112_T54_45,*,#414
ussr-R112_T54_45_FL,*,#414
ussr-R113_Object_730,*,#414
ussr-R114_Object_244,*,#414
ussr-R115_IS-3_auto,*,#414
ussr-R115_IS-3_auto_test,*,#414
ussr-R117_T34_85_Rudy,*,#414
ussr-R118_T28_F30,*,#414
ussr-R119_Object_777,*,#414
ussr-R119_Object_777C,*,#414
ussr-R12_A-20,*,#414
ussr-R120_T22SR_A22,*,#414
ussr-R122_T44_100,*,#414
ussr-R122_T44_100B,*,#414
ussr-R123_Kirovets_1,*,#414
ussr-R125_T_45,*,#414
ussr-R126_Object_730_5,*,#414
ussr-R127_T44_100_K,*,#414
ussr-R127_T44_100_P,*,#414
ussr-R127_T44_100_U,*,#414
ussr-R128_KV4_Kreslavskiy,*,#414
ussr-R129_Object_257,*,#414
ussr-R13_KV-1s,*,#414
ussr-R131_Tank_Gavalov,*,#414
ussr-R132_VNII_100LT,*,#414
ussr-R133_KV_122,*,#414
ussr-R134_Object_252K,*,#414
ussr-R134_Object_252U,*,#414
ussr-R135_T_103,*,#414
ussr-R139_IS_M,*,#414
ussr-R140_M4_Loza,*,#414
ussr-R143_T_29,*,#414
ussr-R145_Object_705_A,*,#414
ussr-R146_STG,*,#414
ussr-R146_STG_Tday,*,#414
ussr-R148_Object_430_U,*,#414
ussr-R151_Object_257_2,*,#414
ussr-R152_KV2_W,*,#414
ussr-R153_Object_705,*,#414
ussr-R154_T_34E_1943,*,#414
ussr-R155_Object_277,*,#414
ussr-R156_IS_2M,*,#414
ussr-R157_Object_279R,*,#414
ussr-R158_LT_432,*,#414
ussr-R160_T_50_2,*,#414
ussr-R161_T_116,*,#414
ussr-R165_Object_703_II,*,#414
ussr-R165_Object_703_II_2,*,#414
ussr-R169_ST_II,*,#414
ussr-R170_IS_2_II,*,#414
ussr-R171_IS_3_II,*,#414
ussr-R172_Object_752,*,#414
ussr-R173_K_91_2,*,#414
ussr-R174_BT-5,*,#414
ussr-R175_IS_2_screen,*,#414
ussr-R178_Object_780,*,#414
ussr-R19_IS-3,*,#414
ussr-R19_IS-3_IGR,*,#414
ussr-R20_T-44,*,#414
ussr-R20_T-44_FL,*,#414
ussr-R20_T-44_IGR,*,#414
ussr-R22_T-46,*,#414
ussr-R22_T-46_bootcamp,*,#414
ussr-R23_T-43,*,#414
ussr-R31_Valentine_LL,*,#414
ussr-R31_Valentine_LL_IGR,*,#414
ussr-R32_Matilda_II_LL,*,#414
ussr-R33_Churchill_LL,*,#414
ussr-R34_BT-SV,*,#414
ussr-R38_KV-220,*,#414
ussr-R38_KV-220_beta,*,#414
ussr-R39_KV-3,*,#414
ussr-R40_T-54,*,#414
ussr-R41_T-50,*,#414
ussr-R42_T-60,*,#414
ussr-R43_T-70,*,#414
ussr-R43_T-70_bootcamp,*,#414
ussr-R44_T80,*,#414
ussr-R45_IS-7,*,#414
ussr-R45_IS-7_fallout,*,#414
ussr-R45_IS-7_IGR,*,#414
ussr-R46_KV-13,*,#414
ussr-R46_KV-13_SH,*,#414
ussr-R54_KV-5,*,#414
ussr-R54_KV-5_IGR,*,#414
ussr-R56_T-127,*,#414
ussr-R57_A43,*,#414
ussr-R59_A44,*,#414
ussr-R61_Object252,*,#414
ussr-R61_Object252_BF,*,#414
ussr-R61_Object252_FL,*,#414
ussr-R63_ST_I,*,#414
ussr-R66_SU-26,*,#414
ussr-R67_M3_LL,*,#414
ussr-R68_A-32,*,#414
ussr-R70_T_50_2,*,#414
ussr-R71_IS_2B,*,#414
ussr-R72_T150,*,#414
ussr-R73_KV4,*,#414
ussr-R77_KV2,*,#414
ussr-R77_KV2_IGR,*,#414
ussr-R80_KV1,*,#414
ussr-R81_IS8,*,#414
ussr-R84_Tetrarch_LL,*,#414
ussr-R86_LTP,*,#414
ussr-R86_LTP_bootcamp,*,#414
ussr-R87_T62A,*,#414
ussr-R87_T62A_fallout,*,#414
ussr-R90_IS_4M,*,#414
ussr-R95_Object_907,*,#414
ussr-R95_Object_907A,*,#414
ussr-R96_Object_430,*,#414
ussr-R96_Object_430B,*,#414
ussr-R97_Object_140,*,#414
ussr-R97_Object_140_bob,*,#414
ussr-R98_T44_85,*,#414
ussr-R98_T44_85M,*,#414
ussr-R99_T44_122,*,#414
