WOT-DATA,2
sweden-S27_UDES_16,UDES 16,#227
sweden-S28_UDES_15_16,UDES 15/16,#227
sweden-S28_UDES_15_16_bob,UDES 15/16 BB,#227
sweden-S29_UDES_14_5,UDES 14 Alt 5,#227
sweden-S30_UDES_03_Alt_3,UDES 03 Alt 3,#227
uk-GB01_Medium_Mark_I,Vickers Medium Mk. I,#227
uk-GB01_Medium_Mark_I_bot,Vickers Medium Mk. I,#227
uk-GB03_Cruiser_Mk_I,Cruiser Mk. I,#227
uk-GB04_Valentine,Valentine,#227
uk-GB05_Vickers_Medium_Mk_II,Vickers Medium Mk. II,#227
uk-GB05_Vickers_Medium_Mk_II_bot,Vickers Medium Mk. II,#227
uk-GB06_Vickers_Medium_Mk_III,Vickers Medium Mk. III,#227
uk-GB07_Matilda,Matilda,#227
uk-GB08_Churchill_I,Churchill I,#227
uk-GB08_Churchill_I_IGR,Churchill I,#227
uk-GB09_Churchill_VII,Churchill VII,#227
uk-GB10_Black_Prince,Black Prince,#227
uk-GB100_Manticore,Manticore,#227
uk-GB101_FV1066_Senlac,FV1066 Senlac,#227
uk-GB102_LHMTV,LHMTV,#227
uk-GB103_GSOR3301_AVR_FS,GSOR3301 AVR FS,#227
uk-GB104_GSR_3301_Setter,GSR 3301 Setter,#227
uk-GB105_Black_Prince_2019,A43 BP prototype,#227
uk-GB11_Caernarvon,Caernarvon,#227
uk-GB11_Caernarvon_IGR,Caernarvon,#227
uk-GB12_Conqueror,Conqueror,#227
uk-GB13_FV215b,FV215b,#227
uk-GB13_FV215b_IGR,FV215b,#227
uk-GB14_M2,M2,#227
uk-GB15_Stuart_I,Stuart I-IV,#227
uk-GB17_Grant_I,Grant,#227
uk-GB19_Sherman_Firefly,Sherman Firefly,#227
uk-GB20_Crusader,Crusader,#227
uk-GB21_Cromwell,Cromwell,#227
uk-GB21_Cromwell_IGR,Cromwell,#227
uk-GB22_Comet,Comet,#227
uk-GB23_Centurion,Centurion Mk. I,#227
uk-GB23_Centurion_IGR,Centurion Mk. I,#227
uk-GB24_Centurion_Mk3,Centurion Mk. 7/1,#227
uk-GB25_Loyd_Gun_Carriage,Loyd Gun Carriage,#227
uk-GB26_Birch_Gun,Birch Gun,#227
uk-GB27_Sexton,Sexton II,#227
uk-GB28_Bishop,Bishop,#227
uk-GB29_Crusader_5inch,Crusader 5.5-in. SP,#227
uk-GB30_FV3805,FV3805,#227
uk-GB31_Conqueror_Gun,Conqueror Gun Carriage,#227
uk-GB32_Tortoise,Tortoise,#227
uk-GB33_Sentinel_AC_I,AC 1 Sentinel,#227
uk-GB35_Sentinel_AC_IV,AC 4 Experimental,#227
uk-GB39_Universal_CarrierQF2,Universal Carrier 2-pdr,#227
uk-GB40_Gun_Carrier_Churchill,Churchill Gun Carrier,#227
uk-GB41_Challenger,Challenger,#227
uk-GB42_Valentine_AT,Valentine AT,#227
uk-GB44_Archer,Archer,#227
uk-GB45_Achilles_IIC,Achilles,#227
uk-GB48_FV215b_183,FV215b (183),#227
uk-GB50_Sherman_III,Sherman III,#227
uk-GB51_Excelsior,Excelsior,#227
uk-GB52_A45,FV201 (A45),#227
uk-GB57_Alecto,Alecto,#227
uk-GB58_Cruiser_Mk_III,Cruiser Mk. III,#227
uk-GB59_Cruiser_Mk_IV,Cruiser Mk. IV,#227
uk-GB60_Covenanter,Covenanter,#227
uk-GB63_TOG_II,TOG II*,#227
uk-GB68_Matilda_Black_Prince,Matilda Black Prince,#227
uk-GB69_Cruiser_Mk_II,Cruiser Mk. II,#227
uk-GB70_FV4202_105,FV4202,#227
uk-GB70_N_FV4202_105,FV4202,#227
uk-GB70_N_FV4202_105_FL,FV4202 FL,#227
uk-GB71_AT_15A,AT 15A,#227
uk-GB72_AT15,AT 15,#227
uk-GB72_AT15_IGR,AT 15,#227
uk-GB73_AT2,AT 2,#227
uk-GB74_AT8,AT 8,#227
uk-GB75_AT7,AT 7,#227
uk-GB76_Mk_VIC,Light Mk. VIC,#227
uk-GB77_FV304,FV304,#227
uk-GB77_FV304_IGR,FV304,#227
uk-GB78_Sexton_I,Sexton I,#227
uk-GB79_FV206,FV207,#227
uk-GB80_Charioteer,Charioteer,#227
uk-GB81_FV4004,FV4004 Conway,#227
uk-GB83_FV4005,FV4005 Stage II,#227
uk-GB84_Chieftain_Mk6,Chieftain Mk. 6,#227
uk-GB85_Cromwell_Berlin,Cromwell B,#227
uk-GB86_Centurion_Action_X,Centurion Action X,#227
uk-GB87_Chieftain_T95_turret,Chieftain/T95,#227
uk-GB88_T95_Chieftain_turret,T95/Chieftain,#227
uk-GB91_Super_Conqueror,Super Conqueror,#227
uk-GB92_FV217,FV217 Badger,#227
uk-GB93_Caernarvon_AX,Caernarvon Action X,#227
uk-GB94_Centurion_Mk5-1_RAAC,Centurion Mk. 5/1 RAAC,#227
uk-GB95_Ekins_Firefly_M4A4,Sherman VC Firefly,#227
uk-GB96_Excalibur,Excalibur,#227
uk-GB97_Chimera,Chimera,#227
uk-GB98_T95_FV4201_Chieftain,T95/FV4201 Chieftain,#227
uk-GB99_Turtle_Mk1,Turtle Mk. I,#227
usa-A01_T1_Cunningham,T1 Cunningham,#227
usa-A01_T1_Cunningham_bot,T1 Cunningham,#227
usa-A02_M2_lt,M2 Light Tank,#227
usa-A03_M3_Stuart,M3 Stuart,#227
usa-A03_M3_Stuart_bootcamp,M3 Stuart,#227
usa-A04_M3_Grant,M3 Lee,#227
usa-A05_M4_Sherman,M4A1 Sherman,#227
usa-A05_M4_Sherman_IGR,M4A1 Sherman,#227
usa-A06_M4A3E8_Sherman,M4A3E8 Sherman,#227
