WOT-DATA,2
{{ID}},Tank
{{EN}},Tank hit points with the top turret.
{{RU}},Прочность танка с топ башней.
china-Ch41_WZ_111_QL,2200,#287
china-Ch42_WalkerBulldog_M41D,1100,#287
czech-Cz01_Skoda_T40,780,#287
czech-Cz02_TVP_T50,1650,#287
czech-Cz03_LT_vz35,360,#287
czech-Cz04_T50_51,1800,#287
czech-Cz05_T34_100,1100,#287
czech-Cz06_Kolohousenka,235,#287
czech-Cz07_TVP_46,1450,#287
czech-Cz08_T_25,820,#287
czech-Cz09_T_24,590,#287
czech-Cz10_LT_vz38,390,#287
czech-Cz11_V_8_H,540,#287
czech-Cz13_T_27,1350,#287
france-F01_RenaultFT,245,#287
france-F01_RenaultFT_bot,105,#287
france-F02_D1,340,#287
france-F03_D2,410,#287
france-F04_B1,660,#287
france-F04_B1_bootcamp,630,#287
france-F05_BDR_G1B,920,#287
france-F06_ARL_44,920,#287
france-F07_AMX_M4_1945,1350,#287
france-F08_AMX_50_100,1400,#287
france-F08_AMX_50_100_IGR,1400,#287
france-F09_AMX_50_120,1750,#287
france-F10_AMX_50B,2100,#287
france-F10_AMX_50B_fallout,2100,#287
france-F100_Panhard_EBR_90,1150,#287
france-F106_Panhard_EBR_75_Mle1954,950,#287
france-F107_Hotchkiss_EBR,750,#287
france-F108_Panhard_EBR_105,1300,#287
france-F109_AMD_Panhard_178B,640,#287
france-F11_Renault_G1R,600,#287
france-F110_Lynx_6x6,920,#287
france-F111_AM39_Gendron_Somua,280,#287
france-F112_M10_RBFM,470,#287
france-F113_Bretagne_Panther,940,#287
france-F114_Projet_4_1,1750,#287
france-F116_Bat_Chatillon_Bourrasque,1250,#287
france-F12_Hotchkiss_H35,320,#287
france-F13_AMX38,390,#287
france-F14_AMX40,400,#287
france-F15_AMX_12t,650,#287
france-F16_AMX_13_75,850,#287
france-F17_AMX_13_90,1200,#287
france-F17_AMX_13_90_IGR,1200,#287
france-F18_Bat_Chatillon25t,1800,#287
france-F18_Bat_Chatillon25t_IGR,1800,#287
france-F19_Lorraine40t,1300,#287
france-F20_RenaultBS,160,#287
france-F21_Lorraine39_L_AM,215,#287
france-F22_AMX_105AM,290,#287
france-F23_AMX_13F3AM,300,#287
france-F24_Lorraine155_50,340,#287
france-F25_Lorraine155_51,390,#287
france-F27_FCM_36Pak40,320,#287
france-F28_105_leFH18B2,340,#287
france-F28_105_leFH18B2_IGR,260,#287
france-F30_RenaultFT_AC,240,#287
france-F32_Somua_Sau_40,430,#287
france-F33_S_35CA,430,#287
france-F33_S_35CA_IGR,330,#287
france-F34_ARL_V39,680,#287
france-F35_AMX_AC_Mle1946,820,#287
france-F36_AMX_AC_Mle1948,1000,#287
france-F36_AMX_AC_Mle1948_IGR,1000,#287
france-F37_AMX50_Foch,1550,#287
france-F38_Bat_Chatillon155_58,490,#287
france-F42_AMR_35,360,#287
france-F44_Somua_S35,445,#287
france-F49_RenaultR35,310,#287
france-F50_FCM36_20t,280,#287
france-F52_RenaultUE57,265,#287
france-F62_ELC_AMX,490,#287
france-F62_ELC_AMX_IGR,320,#287
france-F64_AMX_50Fosh_155,1850,#287
france-F64_AMX_50Fosh_B,1850,#287
france-F65_FCM_50t,1500,#287
france-F66_AMX_Ob_Am105,260,#287
france-F67_Bat_Chatillon155_55,440,#287
france-F68_AMX_Chasseur_de_char_46,1400,#287
france-F69_AMX13_57_100,890,#287
france-F69_AMX13_57_100_GrandFinal,890,#287
france-F70_SARL42,540,#287
france-F71_AMX_30_prototype,1650,#287
france-F72_AMX_30,1900,#287
france-F73_M4A1_Revalorise,1400,#287
france-F73_M4A1_Revalorise_FL,1400,#287
france-F74_AMX_M4_1949,1500,#287
france-F74_AMX_M4_1949_FL,1500,#287
france-F74_AMX_M4_1949_Liberte,1500,#287
france-F75_Char_de_25t,1600,#287
france-F81_Char_de_65t,1550,#287
france-F82_AMX_M4_Mle1949_Ter,2200,#287
france-F83_AMX_M4_Mle1949_Bis,1900,#287
france-F84_Somua_SM,1450,#287
france-F85_M4A1_FL10,810,#287
france-F87_Batignolles-Chatillon_12t,1000,#287
france-F88_AMX_13_105,1400,#287
france-F89_Canon_dassaut_de_105,1000,#287
france-F97_ELC_EVEN_90,900,#287
france-F97_ELC_EVEN_90_FL,900,#287
germany-Env_Artillery,300,#287
germany-G02_Hummel,335,#287
germany-G03_PzV_Panther,1300,#287
germany-G03_PzV_Panther_bootcamp,1200,#287
germany-G03_PzV_Panther_IGR,1300,#287
germany-G03_PzV_Panther_training,480,#287
germany-G04_PzVI_Tiger_I,1500,#287
germany-G04_PzVI_Tiger_I_IGR,1500,#287
germany-G04_PzVI_Tiger_IA,1700,#287
germany-G05_StuG_40_AusfG,460,#287
germany-G05_StuG_40_AusfG_IGR,350,#287
germany-G06_PzII,340,#287
germany-G06_PzII_bot,145,#287
germany-G07_Pz35t,360,#287
germany-G08_Pz38t,445,#287
germany-G08_Pz38t_bootcamp,425,#287
germany-G09_Hetzer,415,#287
germany-G10_PzIII_AusfJ,540,#287
germany-G10_PzIII_AusfJ_training,310,#287
germany-G100_Gtraktor_Krupp,570,#287
germany-G101_StuG_III,400,#287
germany-G102_Pz_III,425,#287
germany-G102_Pz_III_bootcamp,405,#287
germany-G103_RU_251,1400,#287
germany-G104_Stug_IV,470,#287
germany-G105_T-55_NVA_DDR,1750,#287
germany-G106_PzKpfwPanther_AusfF,1500,#287
germany-G107_PzKpfwIII_AusfK,790,#287
germany-G108_PzKpfwII_AusfD,420,#287
germany-G109_Steyr_WT,800,#287
germany-G11_Bison_I,230,#287
germany-G110_Typ_205,2300,#287
germany-G112_KanonenJagdPanzer,1200,#287
germany-G112_KanonenJagdPanzer_105,1050,#287
germany-G113_SP_I_C,880,#287
germany-G114_Rheinmetall_Skorpian,1150,#287
germany-G114_Skorpian,1150,#287
germany-G115_Typ_205_4_Jun,1700,#287
germany-G115_Typ_205B,1700,#287
germany-G116_Turan_III_prot,750,#287
germany-G117_Toldi_III,410,#287
germany-G117_Toldi_III_bootcamp,410,#287
germany-G118_VK4503,1400,#287
germany-G119_Panzer58,1350,#287
germany-G119_Panzer58_BF,1350,#287
germany-G119_Panzer58_FL,1350,#287
germany-G119_Pz58_Mutz,1350,#287
germany-G12_Ltraktor,280,#287
germany-G12_Ltraktor_bot,110,#287
germany-G120_M41_90,1100,#287
germany-G120_M41_90_GrandFinal,1100,#287
germany-G121_Grille_15_L63,1800,#287
germany-G122_VK6501H,920,#287
germany-G125_Spz_57_Rh,1600,#287
germany-G126_HWK_12,1100,#287
germany-G13_VK3001H,700,#287
germany-G134_PzKpfw_VII,2500,#287
germany-G134_PzKpfw_VII_bob,2500,#287
germany-G136_Tiger_131,1060,#287
germany-G137_PzVI_Tiger_217,1060,#287
germany-G138_VK168_02,1700,#287
germany-G138_VK168_02_Mauerbrecher,1700,#287
germany-G139_MKA,400,#287
germany-G140_HWK_30,1150,#287
germany-G141_VK7501K,1600,#287
germany-G142_M48RPz,1450,#287
germany-G143_E75_TS,1500,#287
germany-G144_Kpz_50t,1750,#287
germany-G15_VK3601H,1060,#287
germany-G16_PzVIB_Tiger_II,1600,#287
germany-G16_PzVIB_Tiger_II_F,1400,#287
germany-G16_PzVIB_Tiger_II_IGR,1600,#287
germany-G16_PzVIB_Tiger_II_training,800,#287
germany-G17_JagdPzIV,670,#287
germany-G18_JagdPanther,850,#287
germany-G19_Wespe,230,#287
germany-G20_Marder_II,295,#287
germany-G21_PanzerJager_I,240,#287
germany-G21_PanzerJager_I_bootcamp,240,#287
germany-G22_Sturmpanzer_II,290,#287
germany-G23_Grille,315,#287
germany-G24_VK3002DB,1250,#287
germany-G25_PzII_Luchs,520,#287
germany-G26_VK1602,580,#287
germany-G27_VK3001P,1100,#287
germany-G28_PzIII_IV,630,#287
germany-G32_PzV_PzIV,680,#287
germany-G32_PzV_PzIV_ausf_Alfa,680,#287
germany-G32_PzV_PzIV_ausf_Alfa_CN,920,#287
germany-G32_PzV_PzIV_CN,920,#287
germany-G33_H39_captured,320,#287
germany-G34_S35_captured,465,#287
germany-G35_B-1bis_captured,610,#287
germany-G36_PzII_J,465,#287
germany-G37_Ferdinand,1500,#287
germany-G37_Ferdinand_IGR,1500,#287
germany-G39_Marder_III,415,#287
germany-G40_Nashorn,670,#287
germany-G41_DickerMax,620,#287
germany-G42_Maus,3000,#287
germany-G42_Maus_IGR,3200,#287
germany-G43_Sturer_Emil,850,#287
germany-G44_JagdTiger,2100,#287
germany-G44_JagdTigerH,1600,#287
germany-G45_G_Tiger,500,#287
germany-G46_T-25,800,#287
germany-G48_E-25,830,#287
germany-G48_E-25_IGR,830,#287
germany-G49_G_Panther,360,#287
germany-G50_T-15,465,#287
germany-G51_Lowe,1650,#287
germany-G51_Lowe_FL,1650,#287
germany-G52_Pz38_NA,520,#287
germany-G53_PzI,320,#287
germany-G54_E-50,1750,#287
germany-G55_E-75,1920,#287
germany-G56_E-100,2700,#287
germany-G57_PzVI_Tiger_P,1450,#287
germany-G58_VK4502P,1950,#287
germany-G58_VK4502P7,1500,#287
germany-G61_G_E,550,#287
germany-G63_PzI_ausf_C,410,#287
germany-G64_Panther_II,1500,#287
germany-G64_Panther_II_IGR,1500,#287
germany-G65_JagdTiger_SdKfz_185,1500,#287
germany-G65_JagdTiger_SdKfz_185_IGR,1300,#287
germany-G66_VK2801,680,#287
germany-G67_VK4502A,1570,#287
germany-G70_PzIV_Hydro,720,#287
germany-G71_JagdPantherII,1150,#287
germany-G72_JagdPz_E100,2200,#287
germany-G73_E50_Ausf_M,2050,#287
germany-G76_Pz_Sfl_IVc,460,#287
germany-G77_PzIV_Schmalturm,820,#287
germany-G78_Panther_M10,1300,#287
germany-G79_Pz_IV_AusfGH,550,#287
germany-G80_Pz_IV_AusfD,540,#287
germany-G80_Pz_IV_AusfD_bootcamp,510,#287
germany-G81_Pz_IV_AusfH,630,#287
germany-G82_Pz_II_AusfG,425,#287
germany-G83_Pz_IV_AusfA,480,#287
germany-G85_Auf_Panther,850,#287
germany-G85_Aufklarungspanzer_V,1100,#287
germany-G86_VK2001DB,540,#287
germany-G87_VK3002DB_V1,860,#287
germany-G88_Indien_Panzer,1300,#287
germany-G89_Leopard1,1850,#287
germany-G90_DW_II,670,#287
germany-G91_Pro_Ag_A,1700,#287
germany-G92_VK7201,2500,#287
germany-G93_GW_Mk_VIe,180,#287
germany-G94_GW_Tiger_P,440,#287
germany-G95_Pz_Sfl_IVb,305,#287
germany-G96_VK3002M,940,#287
germany-G97_Waffentrager_IV,1600,#287
germany-G98_Waffentrager_E100,2000,#287
germany-G98_Waffentrager_E100_P,2000,#287
germany-G99_RhB_Waffentrager,1100,#287
italy-It03_M15_42,465,#287
italy-It04_Fiat_3000,255,#287
italy-It05_Carro_L6_40,340,#287
italy-It06_M14_41,380,#287
italy-It07_P26_40,540,#287
italy-It08_Progetto_M40_mod_65,1900,#287
italy-It08_Progetto_M40_mod_65_bob,1900,#287
italy-It09_P43_ter,1100,#287
italy-It10_P43_bis,830,#287
italy-It11_P43,600,#287
italy-It12_Prototipo_Standard_B,1700,#287
italy-It13_Progetto_M35_mod_46,1400,#287
italy-It14_P44_Pantera,1400,#287
japan-J01_NC27,235,#287
japan-J01_NC27_bot,100,#287
japan-J02_Te_Ke,320,#287
japan-J03_Ha_Go,350,#287
japan-J04_Ke_Ni,425,#287
japan-J04_Ke_Ni_bootcamp,405,#287
japan-J05_Ke_Ni_B,465,#287
japan-J06_Ke_Ho,520,#287
japan-J07_Chi_Ha,425,#287
japan-J08_Chi_Nu,630,#287
japan-J09_Chi_He,540,#287
japan-J10_Chi_To,920,#287
japan-J11_Chi_Ri,1250,#287
japan-J11_Chi_Ri_IGR,1250,#287
japan-J12_Chi_Nu_Kai,630,#287
japan-J13_STA_1,1450,#287
japan-J13_STA_1_IGR,1450,#287
japan-J14_Type_61,1750,#287
japan-J15_Chi_Ni,380,#287
japan-J16_ST_B1,2000,#287
japan-J16_ST_B1_IGR,1950,#287
japan-J18_STA_2_3,1420,#287
japan-J19_Tiger_I_Jpn,1060,#287
japan-J20_Type_2605,2900,#287
japan-J21_Type_91,445,#287
japan-J22_Type_95,670,#287
japan-J22_Type_95_bootcamp,670,#287
japan-J23_Mi_To,920,#287
japan-J24_Mi_To_130_tons,1060,#287
japan-J25_Type_4,2050,#287
japan-J26_Type_89,400,#287
japan-J27_O_I_120,1700,#287
japan-J28_O_I_100,1550,#287
japan-J29_Nameless,1600,#287
japan-J30_Edelweiss,1400,#287
poland-Pl01_TKS_20mm,320,#287
poland-Pl03_PzV_Poland,940,#287
poland-Pl05_50TP_Tyszkiewicza,2000,#287
poland-Pl06_10TP,410,#287
poland-Pl07_14TP,550,#287
poland-Pl08_50TP_prototyp,1500,#287
poland-Pl09_7TP,380,#287
poland-Pl10_40TP_Habicha,840,#287
poland-Pl11_45TP_Habicha,1200,#287
poland-Pl12_25TP_KSUST_II,590,#287
poland-Pl13_53TP_Markowskiego,1450,#287
poland-Pl14_4TP,235,#287
poland-Pl15_60TP_Lewandowskiego,2600,#287
poland-Pl16_T34_85_Rudy,810,#287
sweden-S01_Strv_74_A2,780,#287
sweden-S02_Strv_M42,590,#287
sweden-S03_Strv_M38,340,#287
sweden-S04_Lago_I,540,#287
sweden-S05_Strv_M21_29,280,#287
sweden-S06_Ikv_90_Typ_B_Bofors,800,#287
sweden-S07_Strv_74,840,#287
sweden-S08_Ikv_65_Alt_2,650,#287
sweden-S09_L_120_TD,220,#287
sweden-S10_Strv_103_0_Series,1500,#287
sweden-S11_Strv_103B,1800,#287
sweden-S12_Strv_M40,410,#287
sweden-S13_Leo,1100,#287
sweden-S14_Ikv_103,460,#287
sweden-S15_L_60,360,#287
sweden-S16_Kranvagn,2000,#287
sweden-S17_EMIL_1952_E2,1700,#287
sweden-S18_EMIL_1951_E1,1400,#287
sweden-S19_Sav_M43,415,#287
sweden-S20_Ikv_72,265,#287
sweden-S21_UDES_03,1000,#287
sweden-S22_Strv_S1,1000,#287
sweden-S22_Strv_S1_FL,1000,#287
sweden-S23_Strv_81,1450,#287
sweden-S23_Strv_81_sabaton,1450,#287
sweden-S25_EMIL_51,1400,#287
sweden-S26_Lansen_C,1350,#287
sweden-S27_UDES_16,1650,#287
sweden-S28_UDES_15_16,1950,#287
sweden-S28_UDES_15_16_bob,1950,#287
sweden-S29_UDES_14_5,1400,#287
sweden-S30_UDES_03_Alt_3,1600,#287
sweden-S31_Strv_K,1850,#287
uk-GB01_Medium_Mark_I,300,#287
uk-GB01_Medium_Mark_I_bot,130,#287
uk-GB03_Cruiser_Mk_I,255,#287
uk-GB04_Valentine,390,#287
uk-GB05_Vickers_Medium_Mk_II,380,#287
uk-GB05_Vickers_Medium_Mk_II_bot,170,#287
uk-GB06_Vickers_Medium_Mk_III,500,#287
uk-GB07_Matilda,570,#287
uk-GB08_Churchill_I,920,#287
uk-GB08_Churchill_I_IGR,700,#287
uk-GB09_Churchill_VII,1080,#287
uk-GB10_Black_Prince,1450,#287
uk-GB100_Manticore,1400,#287
uk-GB101_FV1066_Senlac,1050,#287
uk-GB102_LHMTV,1050,#287
uk-GB103_GSOR3301_AVR_FS,1250,#287
uk-GB104_GSR_3301_Setter,860,#287
uk-GB105_Black_Prince_2019,1000,#287
uk-GB107_Cavalier,610,#287
uk-GB108_A46,580,#287
uk-GB11_Caernarvon,1600,#287
uk-GB11_Caernarvon_IGR,1600,#287
uk-GB12_Conqueror,1950,#287
uk-GB13_FV215b,2500,#287
uk-GB13_FV215b_IGR,2500,#287
uk-GB14_M2,330,#287
uk-GB15_Stuart_I,445,#287
uk-GB17_Grant_I,490,#287
uk-GB19_Sherman_Firefly,840,#287
uk-GB20_Crusader,680,#287
uk-GB21_Cromwell,840,#287
uk-GB21_Cromwell_IGR,750,#287
uk-GB22_Comet,1150,#287
uk-GB23_Centurion,1450,#287
uk-GB23_Centurion_IGR,1450,#287
uk-GB24_Centurion_Mk3,1720,#287
uk-GB25_Loyd_Gun_Carriage,160,#287
uk-GB26_Birch_Gun,290,#287
uk-GB27_Sexton,250,#287
uk-GB28_Bishop,460,#287
uk-GB29_Crusader_5inch,350,#287
uk-GB30_FV3805,450,#287
uk-GB31_Conqueror_Gun,530,#287
uk-GB32_Tortoise,2000,#287
uk-GB33_Sentinel_AC_I,570,#287
uk-GB35_Sentinel_AC_IV,840,#287
uk-GB39_Universal_CarrierQF2,240,#287
uk-GB40_Gun_Carrier_Churchill,730,#287
uk-GB41_Challenger,900,#287
uk-GB42_Valentine_AT,405,#287
uk-GB44_Archer,470,#287
uk-GB45_Achilles_IIC,720,#287
uk-GB48_FV215b_183,2000,#287
uk-GB50_Sherman_III,610,#287
uk-GB51_Excelsior,880,#287
uk-GB52_A45,1500,#287
uk-GB57_Alecto,415,#287
uk-GB58_Cruiser_Mk_III,390,#287
uk-GB59_Cruiser_Mk_IV,520,#287
uk-GB60_Covenanter,500,#287
uk-GB63_TOG_II,1560,#287
uk-GB68_Matilda_Black_Prince,800,#287
uk-GB69_Cruiser_Mk_II,360,#287
uk-GB70_FV4202_105,1950,#287
uk-GB70_N_FV4202_105,1400,#287
uk-GB70_N_FV4202_105_FL,1400,#287
uk-GB71_AT_15A,1050,#287
uk-GB72_AT15,1450,#287
uk-GB72_AT15_IGR,1450,#287
uk-GB73_AT2,590,#287
uk-GB74_AT8,900,#287
uk-GB75_AT7,1250,#287
uk-GB76_Mk_VIC,300,#287
uk-GB77_FV304,315,#287
uk-GB77_FV304_IGR,280,#287
uk-GB78_Sexton_I,250,#287
uk-GB79_FV206,430,#287
uk-GB80_Charioteer,1050,#287
uk-GB81_FV4004,1500,#287
uk-GB83_FV4005,1850,#287
uk-GB84_Chieftain_Mk6,2200,#287
uk-GB85_Cromwell_Berlin,840,#287
uk-GB86_Centurion_Action_X,1950,#287
uk-GB87_Chieftain_T95_turret,1400,#287
uk-GB88_T95_Chieftain_turret,2000,#287
uk-GB91_Super_Conqueror,2400,#287
uk-GB92_FV217,2100,#287
uk-GB93_Caernarvon_AX,1500,#287
uk-GB94_Centurion_Mk5-1_RAAC,1400,#287
uk-GB95_Ekins_Firefly_M4A4,840,#287
uk-GB96_Excalibur,840,#287
uk-GB97_Chimera,1400,#287
uk-GB98_T95_FV4201_Chieftain,2200,#287
uk-GB99_Turtle_Mk1,1400,#287
usa-A01_T1_Cunningham,245,#287
usa-A01_T1_Cunningham_bot,105,#287
usa-A02_M2_lt,320,#287
usa-A03_M3_Stuart,425,#287
usa-A03_M3_Stuart_bootcamp,405,#287
usa-A04_M3_Grant,475,#287
usa-A05_M4_Sherman,600,#287
usa-A05_M4_Sherman_IGR,460,#287
usa-A06_M4A3E8_Sherman,840,#287
usa-A06_M4A3E8_Sherman_training,830,#287
usa-A07_T20,1100,#287
usa-A08_T23,1310,#287
usa-A09_T1_hvy,860,#287
usa-A10_M6,970,#287
usa-A100_T49,1400,#287
usa-A101_M56,820,#287
usa-A102_T28_concept,880,#287
usa-A103_T71E1,840,#287
usa-A103_T71E1_IGR,840,#287
usa-A104_M4A3E8A,840,#287
usa-A106_M48A2_120,2000,#287
usa-A107_T1_HMC,160,#287
usa-A108_T18_HMC,195,#287
usa-A109_T56_GMC,285,#287
usa-A11_T29,1250,#287
usa-A11_T29_IGR,1250,#287
usa-A111_T25_Pilot,1450,#287
usa-A112_T71E2,840,#287
usa-A112_T71E2R,840,#287
usa-A115_Chrysler_K,1500,#287
usa-A115_Chrysler_K_GF,1500,#287
usa-A116_XM551,1600,#287
usa-A117_T26E5,1500,#287
usa-A117_T26E5_FL,1500,#287
usa-A117_T26E5_Patriot,1500,#287
usa-A118_M4_Thunderbolt,840,#287
usa-A12_T32,1550,#287
usa-A12_T32_FL,1550,#287
usa-A120_M48A5,2000,#287
usa-A120_M48A5_IGR,2000,#287
usa-A121_M26_Cologne,1200,#287
usa-A122_TS-5,1500,#287
usa-A123_T78,670,#287
usa-A124_T54E2,1500,#287
usa-A125_AEP_1,1800,#287
usa-A126_PzVI_Tiger_II_capt,1300,#287
usa-A127_TL_1_LPC,1400,#287
usa-A128_concept_1b,1800,#287
usa-A129_T6_medium,475,#287
usa-A13_T34_hvy,1500,#287
usa-A13_T34_hvy_BF,1500,#287
usa-A13_T34_hvy_FL,1500,#287
usa-A13_T34_hvy_IGR,1500,#287
usa-A130_Super_Hellcat,800,#287
usa-A14_T30,1650,#287
usa-A15_T57,160,#287
usa-A16_M7_Priest,250,#287
usa-A17_M37,275,#287
usa-A18_M41,300,#287
usa-A19_T2_lt,300,#287
usa-A21_T14,900,#287
usa-A22_M5_Stuart,520,#287
usa-A22_M5_Stuart_bootcamp,495,#287
usa-A23_M7_med,540,#287
usa-A24_T2_med,340,#287
usa-A24_T2_med_bot,155,#287
usa-A25_M2_med,375,#287
usa-A25_M2_med_bootcamp,355,#287
usa-A26_T18,240,#287
usa-A27_T82,200,#287
usa-A29_T40,420,#287
usa-A30_M10_Wolverine,470,#287
usa-A31_M36_Slagger,660,#287
usa-A32_M12,350,#287
usa-A33_MTLS-1G14,410,#287
usa-A34_M24_Chaffee,550,#287
usa-A35_Pershing,1440,#287
usa-A35_Pershing_IGR,1440,#287
usa-A36_Sherman_Jumbo,850,#287
usa-A36_Sherman_Jumbo_bootcamp,810,#287
usa-A36_Sherman_Jumbo_IGR,760,#287
usa-A37_M40M43,400,#287
usa-A38_T92,500,#287
usa-A39_T28,1500,#287
usa-A40_T95,1800,#287
usa-A41_M18_Hellcat,640,#287
usa-A43_M22_Locust,445,#287
usa-A44_M4A2E4,630,#287
usa-A45_M6A2E1,1550,#287
usa-A46_T3,220,#287
usa-A57_M8A1,405,#287
usa-A58_T67,470,#287
usa-A58_T67_IGR,360,#287
usa-A62_Ram-II,800,#287
usa-A63_M46_Patton,1700,#287
usa-A63_M46_Patton_KR,1450,#287
usa-A64_T25_AT,840,#287
usa-A66_M103,1850,#287
usa-A67_T57_58,2250,#287
usa-A68_T28_Prototype,1150,#287
usa-A69_T110E5,2200,#287
usa-A71_T21,670,#287
usa-A72_T25_2,850,#287
usa-A74_T1_E6,320,#287
usa-A78_M4_Improved,630,#287
usa-A80_T26_E4_SuperPershing,1500,#287
usa-A80_T26_E4_SuperPershing_FL,1500,#287
usa-A81_T95_E2,1500,#287
usa-A83_T110E4,2000,#287
usa-A85_T110E3,2050,#287
usa-A86_T23E3,1050,#287
usa-A87_M44,315,#287
usa-A88_M53_55,450,#287
usa-A89_T54E1,1850,#287
usa-A90_T69,1350,#287
usa-A90_T69_IGR,1350,#287
usa-A92_M60,2000,#287
usa-A93_T7_Combat_Car,300,#287
usa-A94_T37,680,#287
usa-A95_T95_E6,2150,#287
usa-A97_M41_Bulldog,1000,#287
usa-A99_T92_LT,1000,#287
ussr-Observer,90,#287
ussr-R01_IS,1230,#287
ussr-R02_SU-85,460,#287
ussr-R03_BT-7,540,#287
ussr-R03_BT-7_bootcamp,390,#287
ussr-R04_T-34,590,#287
ussr-R05_KV,730,#287
ussr-R06_T-28,540,#287
ussr-R06_T-28_bootcamp,510,#287
ussr-R07_T-34-85,810,#287
ussr-R07_T-34-85_bootcamp,770,#287
ussr-R07_T-34-85_training,720,#287
ussr-R08_BT-2,320,#287
ussr-R08_BT-2_bootcamp,305,#287
ussr-R09_T-26,360,#287
ussr-R09_T-26_bot,150,#287
ussr-R10_AT-1,250,#287
ussr-R100_SU122A,275,#287
ussr-R101_MT25,660,#287
ussr-R104_Object_430_II,1600,#287
ussr-R105_BT_7A,390,#287
ussr-R106_KV85,970,#287
ussr-R106_KV85_IGR,870,#287
ussr-R107_LTB,1050,#287
ussr-R108_T34_85M,810,#287
ussr-R109_T54S,1300,#287
ussr-R11_MS-1,215,#287
ussr-R11_MS-1_bot,90,#287
ussr-R110_Object_260,2100,#287
ussr-R111_ISU130,1000,#287
ussr-R112_T54_45,1300,#287
ussr-R112_T54_45_FL,1300,#287
ussr-R113_Object_730,1550,#287
ussr-R114_Object_244,990,#287
ussr-R115_IS-3_auto,1550,#287
ussr-R115_IS-3_auto_test,1550,#287
ussr-R116_ISU122C_Berlin,870,#287
ussr-R117_T34_85_Rudy,810,#287
ussr-R118_T28_F30,580,#287
ussr-R119_Object_777,1850,#287
ussr-R119_Object_777C,2100,#287
ussr-R12_A-20,500,#287
ussr-R120_T22SR_A22,1900,#287
ussr-R121_KV4_KTT,1200,#287
ussr-R122_T44_100,1350,#287
ussr-R122_T44_100B,1350,#287
ussr-R123_Kirovets_1,1550,#287
ussr-R125_T_45,280,#287
ussr-R126_Object_730_5,1900,#287
ussr-R127_T44_100_K,1350,#287
ussr-R127_T44_100_P,1350,#287
ussr-R127_T44_100_U,1350,#287
ussr-R128_KV4_Kreslavskiy,1500,#287
ussr-R129_Object_257,2100,#287
ussr-R13_KV-1s,970,#287
ussr-R131_Tank_Gavalov,880,#287
ussr-R132_VNII_100LT,1500,#287
ussr-R133_KV_122,1200,#287
ussr-R134_Object_252K,1500,#287
ussr-R134_Object_252U,1500,#287
ussr-R135_T_103,1250,#287
ussr-R139_IS_M,1500,#287
ussr-R14_SU-5,245,#287
ussr-R140_M4_Loza,840,#287
ussr-R143_T_29,445,#287
ussr-R144_K_91,1950,#287
ussr-R145_Object_705_A,2450,#287
ussr-R146_STG,1350,#287
ussr-R146_STG_Tday,1350,#287
ussr-R148_Object_430_U,2000,#287
ussr-R149_Object_268_4,2000,#287
ussr-R15_S-51,350,#287
ussr-R151_Object_257_2,1900,#287
ussr-R152_KV2_W,960,#287
ussr-R153_Object_705,2000,#287
